МУЛЬТ в кино 124. Весенние смешинки; (2021);Россия,реж.Вера Мякишева...;(детский, мультфильм);2021-03-27
Печень, или История одного стартапа; (2019);Россия,реж.Иван Снежкин;(комедия, криминал, драма);2021-03-31
Слепок; (2021);Россия,реж.Андрей Сильвестров;(драма);2021-03-31
Вспомнить всё; Total Recall  (1990);США...реж.Пол Верховен;(фантастика, боевик, триллер);2021-04-01
Майор Гром: Чумной Доктор; (2021);Россия,реж.Олег Трофим;(боевик, криминал, детектив...);2021-04-01
После Чернобыля; (2021);Россия...реж.Игорь Кинько...;(ужасы, триллер, детектив);2021-04-01
Маша; (2020);Россия,реж.Анастасия Пальчикова;(драма, триллер);2021-04-01
Пришелец из Сказки; Władcy przygód. Stąd do Oblivio  (2019);Польша,реж.Томаш Шафраньски;(боевик, комедия, приключения);2021-04-01
Ученик экзорциста; The Seventh Day  (2021);США,реж.Джастин П. Ланж;(ужасы);2021-04-01
Исход; Exodus  (2021);США,реж.Логан Стоун;(фантастика);2021-04-01
В ринге только девушки; Chick Fight  (2020);США,реж.Пол Лейден;(боевик, драма, комедия...);2021-04-01
Дино Дана; Dino Dana: The Movie  (2020);Канада...реж.Дж.Дж. Джонсон;(фэнтези, приключения, семейный);2021-04-01
Помогите, я уменьшил свою училку!; Hilfe, ich hab meine Lehrerin geschrumpft  (2015);Германия...реж.Свен Унтервальдт мл.;(фэнтези, боевик, комедия...);2021-04-01
Розовое облако; A Nuvem Rosa  (2021);Бразилия,реж.Юли Жербази;(драма, фантастика);2021-04-01
Леонид Агутин. Cosmo Life; Cosmo Life  (2020);Россия...реж.Алексей Логвинченко;(музыка, документальный, концерт);2021-04-01
Все будет хорошо; (2021);Нидерланды...реж.Анет Мелис...;(драма, мультфильм, мелодрама);2021-04-01
Тинторетто и новая Венеция; Tintoretto. L'artista che uccise la pittura  (2020);Италия...реж.Эрминио Перокко;(документальный);2021-04-01
Мортал Комбат; Mortal Kombat  (2021);США,реж.Саймон Маккуойд;(боевик, фэнтези, фантастика);2021-04-08
Уроки фарси; Persian Lessons  (2020);Россия...реж.Вадим Перельман;(драма, военный);2021-04-08
Минари; Minari  (2020);США,реж.Ли Айзек Чун;(драма);2021-04-08
Препод: История Галатеи; Women  (2021);США...реж.Антон Сигурдссон;(триллер, драма, криминал);2021-04-08
100% волк; 100% Wolf  (2020);Австралия...реж.Алекс Стадерманн;(мультфильм, фэнтези, комедия...);2021-04-08
ЗОЖ; Sweat  (2020);Польша...реж.Магнус фон Хорн;(драма);2021-04-08
Кинотеатр кошмаров; Nightmare Cinema  (2018);США,реж.Алехандро Бругуес...;(ужасы);2021-04-08
Книга Моря; (2018);Россия,реж.Алексей Вахрушев;(документальный, мультфильм);2021-04-08
Будь моим Кириллом; (2021);Россия,реж.Алла Елисеева;(комедия);2021-04-08
Заповедь зла; The Curse of Audrey Earnshaw  (2020);Канада,реж.Томас Роберт Ли;(ужасы, драма);2021-04-08
24 снега; (2015);Россия,реж.Михаил Барынин;(документальный);2021-04-08
Властелин колец: Братство Кольца; The Lord of the Rings: The Fellowship of the Ring  (2001);США...реж.Питер Джексон;(фэнтези, приключения, драма);2021-04-15
Отец; The Father  (2020);Великобритания...реж.Флориан Зеллер;(драма);2021-04-15
Чернобыль; (2021);Россия,реж.Данила Козловский;(драма, история);2021-04-15
Вайолет Эвергарден. Фильм; Violet Evergarden: The Movie  (2020);Япония,реж.Таити Исидатэ;(аниме, мультфильм, драма...);2021-04-15
Гениальное ограбление; Way Down  (2021);Испания,реж.Жауме Балагеро;(боевик, триллер, приключения);2021-04-15
От винта 2; (2021);Россия,реж.Ваге Саргсян;(детский, приключения, комедия...);2021-04-15
Заклятье: Новый ритуал; La funeraria  (2020);Аргентина,реж.Мауро Иван Ойеда;(ужасы);2021-04-15
Sheena667; (2019);Россия,реж.Григорий Добрыгин;(драма);2021-04-15
Гунда; Gunda  (2020);Норвегия...реж.Виктор Косаковский;(документальный);2021-04-15
Мой год в Нью-Йорке; My Salinger Year  (2020);Канада...реж.Филипп Фалардо;(мелодрама, комедия);2021-04-15
В стране фей; Faunutland and the Lost Magic  (2020);Швеция...реж.Маркус Овнелль;(фэнтези, семейный);2021-04-15
Проект: Время назад; The Desert Project  (2020);США,реж.Илья Танк Шилов;(фантастика, триллер, комедия);2021-04-15
Робот, я люблю тебя?; (2021);Россия,реж.Юлия Киселева;(документальный);2021-04-15
Love Shorts; Love Shorts  (2021);Германия...реж.Йошка Лаукенинкс...;(мелодрама);2021-04-15
Властелин колец: Две крепости; The Lord of the Rings: The Two Towers  (2002);Новая Зеландия...реж.Питер Джексон;(фэнтези, приключения, драма);2021-04-22
Гнев человеческий; Wrath of Man  (2021);США...реж.Гай Ричи;(боевик, триллер);2021-04-22
Великий; Minamata  (2020);Великобритания...реж.Эндрю Левитас;(драма, биография);2021-04-22
Поколение Вояджер; Voyagers  (2021);США...реж.Нил Бёргер;(фантастика, драма, триллер);2021-04-22
Порочная связь; Lacci  (2020);Италия...реж.Даниэле Лукетти;(драма);2021-04-22
Любовь и монстры; (2020);Россия,реж.Екатерина Краснер;(комедия);2021-04-22
Руфус: Хроники волшебной страны; Adventures of Rufus: The Fantastic Pet  (2020);Франция...реж.Райан Беллгардт;(приключения, семейный, фэнтези);2021-04-22
Нечестивые; The Unholy  (2021);США,реж.Эван Спилиотопулос;(ужасы);2021-04-22
Тьма: Монстры за поворотом; Shortcut  (2020);Италия...реж.Алессио Лигуори;(ужасы);2021-04-22
Сверхъестественное; Stray  (2019);США,реж.Джо Силл;(фэнтези, боевик, триллер...);2021-04-22
Москвы не бывает; (2020);Россия,реж.Дмитрий Федоров;(комедия, триллер, фантастика);2021-04-22
Долгая дорога домой; (2017);Россия,реж.Анатолий Пасичник;(триллер, драма);2021-04-22
МУЛЬТ в кино 125. Друзья на всю голову; (2021);Россия,реж.Станислав Шахов...;(мультфильм, детский);2021-04-24
Властелин колец: Возвращение короля; The Lord of the Rings: The Return of the King  (2003);Новая Зеландия...реж.Питер Джексон;(фэнтези, приключения, драма);2021-04-29
Танцующая в темноте; Dancer in the Dark  (2000);Дания...реж.Ларс фон Триер;(мюзикл, драма, криминал);2021-04-29
Упс... Приплыли!; Ooops! The Adventure Continues  (2020);Ирландия...реж.Тоби Генкель...;(мультфильм, комедия, приключения...);2021-04-29
Девятаев; (2021);Россия,реж.Тимур Бекмамбетов...;(военный, биография, боевик...);2021-04-29
Академия магии; The Academy of Magic  (2020);США,реж.Йорген Клюбен;(мультфильм, фэнтези);2021-04-29
Проклятие: Призраки дома Борли; The Banishing  (2020);Великобритания,реж.Кристофер Смит;(ужасы);2021-04-29
Полный нокдаун; American Fighter  (2019);США,реж.Шон Пол Пиччинино;(боевик, биография);2021-04-29
Ночь; The Night  (2020);США...реж.Курош Ахари;(ужасы);2021-04-29
Приключения экспоната; (2021);Россия,реж.Алена Олейник;(приключения, комедия, драма...);2021-04-29
Ася; Asia  (2020);Израиль,реж.Рути Прибар;(драма);2021-04-29
На дальних рубежах; (2020);Россия,реж.Максим Дашкин;(драма);2021-04-29
6IX9INE: Сага о Дэнни Эрнандесе; 69: The Saga of Danny Hernandez  (2020);США,реж.Викрам Ганди;(документальный, музыка);2021-04-29
Зверокрекеры; Animal Crackers  (2017);Китай...реж.Тони Бэнкрофт...;(мультфильм, мюзикл, фэнтези...);2021-05-01
Иди и смотри; (1985);СССР,реж.Элем Климов;(драма, военный, история);2021-05-06
Восемь сотен; Ba bai  (2020);Китай,реж.Гуань Ху;(военный, боевик, драма...);2021-05-06
Чунгкингский экспресс; Chung Hing sam lam  (1994);Гонконг,реж.Вонг Кар-Вай;(драма, мелодрама, комедия...);2021-05-06
Сопротивление; Resistance  (2020);Великобритания...реж.Хонатан Якубович;(драма, военный, биография...);2021-05-06
Элемент преступления; Forbrydelsens element  (1984);Дания,реж.Ларс фон Триер;(триллер, драма, криминал);2021-05-06
Прабабушка легкого поведения. Начало; (2020);Россия,реж.Марюс Вайсберг;(комедия);2021-05-06
Извержение; Baekdusan  (2019);Корея Южная,реж.Ли Хэ-джун...;(боевик, комедия);2021-05-06
Ангел мести; Vanquish  (2021);США,реж.Джордж Галло;(боевик, триллер, криминал);2021-05-06
Шаг вперед: Жар улиц; Somos Calentura: We Are The Heat  (2018);Колумбия...реж.Хорхе Навас;(драма, музыка);2021-05-06
Лес самоубийц; Jukai Mura  (2021);Япония,реж.Такаси Симидзу;(ужасы);2021-05-06
Пчелка Майя: Медовый движ; Maya the Bee 3: The Golden Orb  (2021);Германия...реж.Ноэль Клири;(мультфильм, приключения);2021-05-06
Смешарики и друзья в кино. Выпуск 1; (2021);Россия,реж.Денис Чернов...;(мультфильм, детский, семейный);2021-05-06
Легенда о пианисте; La leggenda del pianista sull'oceano  (1998);Италия,реж.Джузеппе Торнаторе;(драма, мелодрама, музыка);2021-05-13
Пила: Спираль; Spiral: From the Book of Saw  (2021);США...реж.Даррен Линн Боусман;(детектив, триллер, ужасы);2021-05-13
Кролик Питер 2; Peter Rabbit 2: The Runaway  (2021);Австралия...реж.Уилл Глак;(мультфильм, фэнтези, комедия...);2021-05-13
Те, кто желает мне смерти; Those Who Wish Me Dead  (2021);Канада...реж.Тейлор Шеридан;(боевик, триллер, драма);2021-05-13
Скажи ей; (2020);Россия,реж.Александр Молочников;(драма);2021-05-13
Иваново счастье; (2021);Россия,реж.Иван Соснин;(драма, мелодрама, комедия);2021-05-13
Звездный рубеж; Cosmic Sin  (2021);США,реж.Эдвард Дрэйк;(фантастика, боевик);2021-05-13
Паркет; Parket  (2020);Россия...реж.Александр Миндадзе;(драма);2021-05-13
The Box; Deo bakseu  (2021);Корея Южная,реж.Ян Джон-ун;(драма, музыка);2021-05-13
Замыкание; (2021);Россия,реж.Татьяна Эверстова;(триллер);2021-05-13
Медвежонок Бамси и дочь волшебницы; Bamse och häxans dotter  (2016);Швеция,реж.Кристиан Рюлтениус...;(мультфильм, фэнтези, комедия...);2021-05-13
Форсаж 9; F9  (2021);США,реж.Джастин Лин;(боевик, триллер, криминал...);2021-05-19
Истребитель демонов: Поезд «Бесконечный»; Kimetsu no Yaiba: Mugen Ressha-Hen  (2020);Япония,реж.Харуо Сотодзаки;(аниме, мультфильм, боевик...);2021-05-20
Новый порядок; Nuevo orden  (2020);Мексика...реж.Мишель Франко;(драма);2021-05-20
Конец фильма; (2020);Россия,реж.Владимир Котт;(комедия);2021-05-20
Спирит Непокорный; Spirit Untamed  (2021);США,реж.Илэйн Боган...;(мультфильм, приключения, семейный...);2021-05-20
Lindemann: Live in Moscow; Lindemann: Live in Moscow  (2021);Германия,реж.Сергей Грей;(музыка);2021-05-20
МУЛЬТ в кино 126. Солнечные мультики; (2021);Россия,реж.Вера Мякишева...;(детский, мультфильм);2021-05-22
Канны-2020. Special Edition; Cannes 2020. Special Edition  (2021);Канада...реж.Лючия Чикос...;(драма, комедия);2021-05-25
Пролетая над гнездом кукушки; One Flew Over the Cuckoo's Nest  (1975);США,реж.Милош Форман;(драма);2021-05-27
Рыбка Поньо на утесе; Gake no ue no Ponyo  (2008);Япония,реж.Хаяо Миядзаки;(аниме, мультфильм, приключения...);2021-05-27
Амнезия; Awake  (2019);США,реж.Александр Черняев;(триллер, криминал, боевик);2021-05-27
Кольцо времени; Volition  (2019);Канада,реж.Тони Дин Смит;(фантастика, триллер);2021-05-27
Дублинские дебоширы; Here Are the Young Men  (2020);Ирландия...реж.Оуэн Мэкен;(драма);2021-05-27
Коп на драйве; 30 jours max  (2020);Франция,реж.Тарек Будали;(боевик, комедия, криминал);2021-05-27
Иччи; (2020);Россия,реж.Костас Марсаан;(ужасы, триллер);2021-05-27
Помогите, я уменьшил своих родителей!; Hilfe, ich hab meine Eltern geschrumpft  (2018);Германия,реж.Тим Трагезер;(боевик, комедия, приключения...);2021-05-27
Хищники; Endangered Species  (2021);Кения,реж.М. Дж. Бассетт;(боевик, триллер);2021-05-27
Спиритический сеанс; Seance  (2021);США,реж.Саймон Баррет;(ужасы, детектив);2021-05-27
Туве; Tove  (2020);Финляндия...реж.Зайда Бергрот;(драма, биография);2021-05-27
Играй со мной; (2020);Россия,реж.Андрей Назимов;(комедия, мелодрама);2021-05-27
В винном отражении; (2019);Россия,реж.Виталий Музыченко;(драма, комедия);2021-05-27
Тихое место 2; A Quiet Place Part II  (2021);США,реж.Джон Красински;(ужасы, фантастика, триллер...);2021-06-03
Круэлла; Cruella  (2021);США,реж.Крэйг Гиллеспи;(комедия, криминал);2021-06-03
Якари; Yakari, le film  (2020);Бельгия...реж.Ксавье Джакометти...;(мультфильм, приключения, семейный...);2021-06-03
